channel_name,frequency_checked_hz,attend_side,is_target_frequency_for_trial,is_occipital_channel,qc_status,mean_snr_db,median_snr_db,n
P8,14.0,left,False,True,good,-1.0376361137449908,-0.8294843860199339,20
P8,14.0,right,True,True,good,1.1721939196624471,0.9996980291526387,20
PO3,9.0,left,True,True,good,1.6794657856562574,1.6598837839546854,20
PO3,9.0,right,False,True,good,-0.8723894917536903,-0.80933802005022,20
PO3,14.0,left,False,True,good,-1.340395993830059,-1.0922491696256433,20
PO3,14.0,right,True,True,good,-0.6775857272868454,0.027517679835820177,20
PO4,9.0,left,True,True,good,1.3850592319573338,1.4708899964838418,20
PO4,9.0,right,False,True,good,0.3413674842440774,0.3670621734131449,20
PO4,14.0,left,False,True,good,-1.142636022336537,-1.3287202945350298,20
PO4,14.0,right,True,True,good,1.1337267418230643,0.9756222845087982,20
PO7,9.0,left,True,True,good,3.5433732115845666,3.848507653102885,20
PO7,9.0,right,False,True,good,-0.19044047494513774,0.39330983239021794,20
PO7,14.0,left,False,True,good,-1.2504969964739554,-0.9872524113999882,20
PO7,14.0,right,True,True,good,0.643264467965805,0.4019488589881233,20
PO8,9.0,left,True,True,good,3.036396205262479,2.337809871408261,20
PO8,9.0,right,False,True,good,1.1160863652565844,1.0379358633155094,20
PO8,14.0,left,False,True,good,-1.0365901092224736,-0.9169220017291049,20
PO8,14.0,right,True,True,good,2.2135639538975633,2.1706952668848083,20
POz,9.0,left,True,True,good,0.44936957511970893,0.7226463413148081,20
POz,9.0,right,False,True,good,-0.7600359994665623,-1.0932290355421812,20
POz,14.0,left,False,True,good,-1.0025026192950857,-0.8904364009089156,20
POz,14.0,right,True,True,good,-0.8682779449931983,-0.6092718419292453,20
Pz,9.0,left,True,True,review,0.05112456705666078,0.08278380777305444,20
Pz,9.0,right,False,True,review,-0.15272963876043452,-0.18331642709425686,20
Pz,14.0,left,False,True,review,-1.3467815734235402,-1.1522749116585795,20
Pz,14.0,right,True,True,review,-1.0747000793380974,-0.9820375112489066,20
T7,9.0,left,True,False,review,0.18491868437458417,0.06464982044594665,20
T7,9.0,right,False,False,review,-0.44993810858356076,-0.21568944009500687,20
T7,14.0,left,False,False,review,-1.6291637826374683,-2.0024709973408603,20
T7,14.0,right,True,False,review,1.0240328619029821,0.8427103547972741,20
T8,9.0,left,True,False,review,0.6630201887335646,0.8928782800973292,20
T8,9.0,right,False,False,review,-1.421272220590398,-0.8757740788949768,20
T8,14.0,left,False,False,review,-0.5161131659105298,-0.36082446739849355,20
T8,14.0,right,True,False,review,0.5134192271904535,0.3230620061642456,20
TP10,9.0,left,True,False,review,2.4292299713310883,2.1583079150260187,20
TP10,9.0,right,False,False,review,-0.43113176237217604,0.3407845679754983,20
TP10,14.0,left,False,False,review,-0.90969061495553,-0.6870018139782423,20
TP10,14.0,right,True,False,review,3.1066632599385016,2.9329110900671864,20
TP7,9.0,left,True,False,good,1.268211700503699,1.3770139951467049,20
TP7,9.0,right,False,False,good,-0.19670377761946164,-0.401572345643725,20
TP7,14.0,left,False,False,good,-1.4256502033534046,-1.4793167009847092,20
TP7,14.0,right,True,False,good,1.505887662139188,1.2929686774093643,20
TP8,9.0,left,True,False,good,1.2393414728027796,1.0336962203719013,20
TP8,9.0,right,False,False,good,-0.81701308011517,-0.2508203290275169,20
TP8,14.0,left,False,False,good,-0.6976555074661144,-0.6912085264643979,20
TP8,14.0,right,True,False,good,1.0955310907759164,1.156884829693471,20
TP9,9.0,left,True,False,good,1.8346995633685093,1.9316862803459292,20
TP9,9.0,right,False,False,good,-0.3014557715897778,-0.3327653417512514,20
TP9,14.0,left,False,False,good,-1.490663362209958,-1.0986000850073352,20
TP9,14.0,right,True,False,good,3.634996560391083,3.183466168978134,20
